,Tile Name,Current Target ID,RA,DEC
113,SMC_J0048.7-7145,3111192,12.174,-71.761
114,SMC_J0052.5-7146,3111193,13.106,-71.717
115,SMC_J0056.2-7145,3111194,14.064,-71.757
116,SMC_J0060.0-7145,3111195,14.99,-71.748
117,SMC_J0103.7-7144,3111196,15.942,-71.738
118,SMC_J0107.4-7143,3111197,16.841,-71.721
119,SMC_J0111.2-7142,3111198,17.783,-71.707
120,SMC_J0046.9-7128,3111199,11.757,-71.466
121,SMC_J0050.6-7128,3111200,12.668,-71.464
122,SMC_J0054.3-7128,3111201,13.588,-71.467
123,SMC_J0058.0-7128,3111202,14.507,-71.463
124,SMC_J0101.7-7127,3111203,15.417,-71.454
125,SMC_J0105.4-7126,3111204,16.346,-71.446
126,SMC_J0109.0-7125,3111205,17.294,-71.423
127,SMC_J0052.5-7110,3111206,13.116,-71.176
128,SMC_J0056.1-7110,3111207,13.995,-71.155
129,SMC_J0059.7-7110,3111208,14.93,-71.159
130,SMC_J0103.4-7109,3111209,15.855,-71.156
131,SMC_J0107.0-7108,3111210,16.758,-71.135
132,SMC_J0129.2-7411,3111211,22.294,-74.187
133,SMC_J0130.6-7353,3111212,22.687,-73.882
134,SMC_J0132.0-7334,3111213,23.004,-73.569
135,SMC_J0133.4-7315,3111214,23.363,-73.253
136,SMC_J0129.3-7319,3111215,22.341,-73.312
137,SMC_J0130.7-7300,3111216,22.664,-73.009
138,SMC_J0133.7-7406,3111217,23.413,-74.101
139,SMC_J0136.3-7328,3111218,24.045,-73.474
140,SMC_J0137.6-7309,3111219,24.363,-73.153
141,SMC_J0135.2-7347,3111220,23.787,-73.787
142,SMC_J0146.8-7453,3111221,26.699,-74.881
143,SMC_J0151.2-7449,3111222,27.78,-74.81
144,SMC_J0143.7-7438,3111223,25.902,-74.628
145,SMC_J0148.0-7434,3111224,26.704,-74.537
146,SMC_J0152.3-7430,3111225,28.054,-74.495
147,SMC_J0144.9-7419,3111226,26.256,-74.305
148,SMC_J0149.1-7415,3111227,27.283,-74.24
